id,device,scenario,condition,CamAngle,DistCam2Face,DistDisp2Face,Eye-tracker,FaceAngle,RGB,IR
162,Laptop,S02,A_C_T,326,326,326,326,326,1,0
162,Laptop,S03,A_C_T,326,326,326,326,326,1,0
162,Laptop,S04,A_C_T,326,326,326,326,326,1,0
162,Laptop,S02,A_D_T,327,327,327,327,327,1,0
162,Laptop,S03,A_D_T,326,326,326,326,326,1,0
162,Laptop,S04,A_D_T,327,327,327,327,327,1,0
162,Laptop,S02,A_E_T,327,327,327,327,327,1,0
162,Laptop,S03,A_E_T,328,328,328,328,328,1,0
162,Laptop,S04,A_E_T,326,326,326,326,326,1,0
162,Laptop,S02,A_F_T,333,333,333,333,333,1,0
162,Laptop,S03,A_F_T,330,330,330,330,330,1,0
162,Laptop,S04,A_F_T,331,331,331,331,331,1,0
162,Laptop,S02,A_T_T,326,326,326,326,326,1,0
162,Laptop,S03,A_T_T,326,326,326,326,326,1,0
162,Laptop,S04,A_T_T,327,327,327,327,327,1,0
162,Laptop,S02,A_U_T,326,326,326,326,326,1,0
162,Laptop,S03,A_U_T,327,327,327,327,327,1,0
162,Laptop,S04,A_U_T,327,327,327,327,327,1,0
162,Laptop,S02,D_C_T,324,324,324,324,324,1,0
162,Laptop,S03,D_C_T,326,326,326,326,326,1,0
162,Laptop,S04,D_C_T,327,327,327,327,327,1,0
162,Laptop,S02,D_D_T,326,326,326,326,326,1,0
162,Laptop,S03,D_D_T,327,327,327,327,327,1,0
162,Laptop,S04,D_D_T,326,326,326,326,326,1,0
162,Laptop,S02,D_E_T,326,326,326,326,326,1,0
162,Laptop,S03,D_E_T,327,327,327,327,327,1,0
162,Laptop,S04,D_E_T,326,326,326,326,326,1,0
162,Laptop,S02,D_F_T,332,332,332,332,332,1,0
162,Laptop,S03,D_F_T,334,334,334,334,334,1,0
162,Laptop,S04,D_F_T,334,334,334,334,334,1,0
162,Laptop,S02,D_T_T,327,327,327,327,327,1,0
162,Laptop,S03,D_T_T,325,325,325,325,325,1,0
162,Laptop,S04,D_T_T,326,326,326,326,326,1,0
162,Laptop,S02,D_U_T,327,327,327,327,327,1,0
162,Laptop,S03,D_U_T,327,327,327,327,327,1,0
162,Laptop,S04,D_U_T,327,327,327,327,327,1,0
162,Laptop,S02,F_C_T,326,326,326,326,326,1,0
162,Laptop,S03,F_C_T,327,327,327,327,327,1,0
162,Laptop,S04,F_C_T,327,327,327,327,327,1,0
162,Laptop,S02,F_D_T,325,325,325,325,325,1,0
162,Laptop,S03,F_D_T,326,326,326,326,326,1,0
162,Laptop,S04,F_D_T,327,327,327,327,327,1,0
162,Laptop,S02,F_E_T,326,326,326,326,326,1,0
162,Laptop,S03,F_E_T,326,326,326,326,326,1,0
162,Laptop,S04,F_E_T,327,327,327,327,327,1,0
162,Laptop,S02,F_F_T,320,320,320,320,320,1,0
162,Laptop,S03,F_F_T,328,328,328,328,328,1,0
162,Laptop,S04,F_F_T,333,333,333,333,333,1,0
162,Laptop,S02,F_H_T,326,326,326,326,326,1,0
162,Laptop,S03,F_H_T,327,327,327,327,327,1,0
162,Laptop,S04,F_H_T,326,326,326,326,326,1,0
162,Laptop,S02,F_T_T,327,327,327,327,327,1,0
162,Laptop,S03,F_T_T,325,325,325,325,325,1,0
162,Laptop,S04,F_T_T,328,328,328,328,328,1,0
162,Laptop,S02,F_U_T,327,327,327,327,327,1,0
162,Laptop,S03,F_U_T,327,327,327,327,327,1,0
162,Laptop,S04,F_U_T,327,327,327,327,327,1,0
162,Laptop,S02,N_D_T,322,322,322,322,322,1,0
162,Laptop,S03,N_D_T,326,326,326,326,326,1,0
162,Laptop,S04,N_D_T,327,327,327,327,327,1,0
162,Laptop,S02,N_E_T,326,326,326,326,326,1,0
162,Laptop,S03,N_E_T,327,327,327,327,327,1,0
162,Laptop,S04,N_E_T,327,327,327,327,327,1,0
162,Laptop,S02,N_F_T,316,316,316,316,316,1,0
162,Laptop,S03,N_F_T,332,332,332,332,332,1,0
162,Laptop,S04,N_F_T,316,316,316,316,316,1,0
162,Laptop,S02,N_T_T,326,326,326,326,326,1,0
162,Laptop,S03,N_T_T,326,326,326,326,326,1,0
162,Laptop,S04,N_T_T,326,326,326,326,326,1,0
162,Laptop,S02,N_U_T,328,328,328,328,328,1,0
