id,date,CamAngle,DistCam2Face,DistDisp2Face,Eye-tracker,FaceAngle,RGB,IR
138,11/4/2022,453,453,453,453,453,453,126
139,11/4/2022,451,451,451,451,451,451,126
140,11/7/2022,453,453,453,453,453,453,126
141,11/7/2022,447,447,447,447,447,447,125
142,11/7/2022,453,453,453,453,453,453,126
143,11/8/2022,453,453,453,453,453,453,126
144,11/8/2022,453,453,453,453,453,453,126
145,11/8/2022,453,453,452,453,453,453,126
146,11/9/2022,453,453,453,453,453,453,126
147,11/9/2022,448,448,448,448,448,448,126
148,11/10/2022,453,453,453,453,453,453,126
149,11/11/2022,453,453,453,453,453,453,126
150,11/14/2022,453,453,453,453,453,453,126
151,11/14/2022,453,453,453,453,453,453,126
152,11/15/2022,453,453,453,453,453,453,126
153,11/16/2022,452,452,452,452,452,452,125
154,11/16/2022,447,447,447,447,447,447,126
155,11/16/2022,453,453,453,453,453,453,126
156,11/17/2022,453,453,453,453,453,453,126
157,11/17/2022,448,448,448,448,448,448,126
158,11/18/2022,451,451,451,452,451,451,126
159,11/18/2022,453,453,453,453,453,453,126
160,11/22/2022,449,449,449,449,449,449,126
161,11/21/2022,453,453,453,453,453,453,126
162,11/22/2022,453,453,453,453,453,453,126
163,11/22/2022,453,453,453,453,453,453,126
164,11/23/2022,451,450,450,452,450,451,125
165,11/23/2022,344,343,343,344,343,343,97
166,11/24/2022,453,453,453,453,453,453,126
167,11/25/2022,453,453,453,453,453,453,126
