id,device,scenario,condition,CamAngle,DistCam2Face,DistDisp2Face,Eye-tracker,FaceAngle,RGB,IR
073,Laptop,S03,A_C_T,327,327,327,327,327,1,0
073,Laptop,S04,A_C_T,327,327,327,327,327,1,0
073,Laptop,S05,A_C_T,326,326,326,326,326,1,0
073,Laptop,S03,A_D_T,327,327,327,327,327,1,0
073,Laptop,S04,A_D_T,326,326,326,326,326,1,0
073,Laptop,S05,A_D_T,326,326,326,326,326,1,0
073,Laptop,S03,A_E_T,327,327,327,327,327,1,0
073,Laptop,S04,A_E_T,326,326,326,326,326,1,0
073,Laptop,S05,A_E_T,327,327,327,327,327,1,0
073,Laptop,S03,A_F_T,330,330,330,330,330,1,0
073,Laptop,S04,A_F_T,329,329,329,329,329,1,0
073,Laptop,S05,A_F_T,331,331,331,331,331,1,0
073,Laptop,S03,A_T_T,326,326,326,326,326,1,0
073,Laptop,S04,A_T_T,326,326,326,326,326,1,0
073,Laptop,S05,A_T_T,325,325,325,325,325,1,0
073,Laptop,S03,A_U_T,311,311,311,311,311,1,0
073,Laptop,S04,A_U_T,320,320,320,320,320,1,0
073,Laptop,S05,A_U_T,326,326,326,326,326,1,0
073,Laptop,S03,D_C_T,326,326,326,326,326,1,0
073,Laptop,S04,D_C_T,326,326,326,326,326,1,0
073,Laptop,S05,D_C_T,325,325,325,325,325,1,0
073,Laptop,S03,D_D_T,326,326,326,326,326,1,0
073,Laptop,S04,D_D_T,325,325,325,325,325,1,0
073,Laptop,S05,D_D_T,326,326,326,326,326,1,0
073,Laptop,S03,D_E_T,326,326,326,326,326,1,0
073,Laptop,S04,D_E_T,325,325,325,325,325,1,0
073,Laptop,S05,D_E_T,326,326,326,326,326,1,0
073,Laptop,S03,D_F_T,330,330,330,330,330,1,0
073,Laptop,S04,D_F_T,329,329,329,329,329,1,0
073,Laptop,S05,D_F_T,330,330,330,330,330,1,0
073,Laptop,S03,D_T_T,325,325,325,325,325,1,0
073,Laptop,S04,D_T_T,326,326,326,326,326,1,0
073,Laptop,S05,D_T_T,326,326,326,326,326,1,0
073,Laptop,S03,D_U_T,326,326,326,326,326,1,0
073,Laptop,S04,D_U_T,311,311,311,311,311,1,0
073,Laptop,S05,D_U_T,327,327,327,327,327,1,0
073,Laptop,S03,F_C_T,325,325,325,325,325,1,0
073,Laptop,S04,F_C_T,326,326,326,326,326,1,0
073,Laptop,S05,F_C_T,327,327,327,327,327,1,0
073,Laptop,S03,F_D_T,327,327,327,327,327,1,0
073,Laptop,S04,F_D_T,326,326,326,326,326,1,0
073,Laptop,S05,F_D_T,327,327,327,327,327,1,0
073,Laptop,S03,F_E_T,326,326,326,326,326,1,0
073,Laptop,S04,F_E_T,326,326,326,326,326,1,0
073,Laptop,S05,F_E_T,326,326,326,326,326,1,0
073,Laptop,S03,F_F_T,329,329,329,329,329,1,0
073,Laptop,S04,F_F_T,330,330,330,330,330,1,0
073,Laptop,S05,F_F_T,332,332,332,332,332,1,0
073,Laptop,S03,F_H_T,327,327,327,327,327,1,0
073,Laptop,S04,F_H_T,328,328,328,328,328,1,0
073,Laptop,S05,F_H_T,326,326,326,326,326,1,0
073,Laptop,S03,F_T_T,312,312,312,312,312,1,0
073,Laptop,S04,F_T_T,326,326,326,326,326,1,0
073,Laptop,S05,F_T_T,326,326,326,326,326,1,0
073,Laptop,S03,F_U_T,326,326,326,326,326,1,0
073,Laptop,S04,F_U_T,324,324,324,324,324,1,0
073,Laptop,S05,F_U_T,326,326,326,326,326,1,0
073,Laptop,S03,N_D_T,326,326,326,326,326,1,0
073,Laptop,S04,N_D_T,326,326,326,326,326,1,0
073,Laptop,S05,N_D_T,326,326,326,326,326,1,0
073,Laptop,S03,N_E_T,326,326,326,326,326,1,0
073,Laptop,S04,N_E_T,325,325,325,325,325,1,0
073,Laptop,S05,N_E_T,312,312,312,312,312,1,0
073,Laptop,S03,N_F_T,327,327,327,327,327,1,0
073,Laptop,S04,N_F_T,331,331,331,331,331,1,0
073,Laptop,S05,N_F_T,330,330,330,330,330,1,0
073,Laptop,S03,N_T_T,325,325,325,325,325,1,0
073,Laptop,S04,N_T_T,326,326,326,326,326,1,0
073,Laptop,S05,N_T_T,312,312,312,312,312,1,0
073,Laptop,S03,N_U_T,325,325,325,325,325,1,0
073,Laptop,S04,N_U_T,326,326,326,326,326,1,0
073,Laptop,S05,N_U_T,325,325,325,325,325,1,0
073,Laptop,S03,S_C_T,326,326,326,326,326,1,0
073,Laptop,S04,S_C_T,327,327,327,327,327,1,0
073,Laptop,S05,S_C_T,325,325,325,325,325,1,0
073,Laptop,S03,S_D_T,328,328,328,328,328,1,0
073,Laptop,S04,S_D_T,326,326,326,326,326,1,0
073,Laptop,S05,S_D_T,326,326,326,326,326,1,0
073,Laptop,S03,S_E_T,326,326,326,326,326,1,0
073,Laptop,S04,S_E_T,326,326,326,326,326,1,0
073,Laptop,S05,S_E_T,326,326,326,326,326,1,0
073,Laptop,S03,S_F_T,328,328,328,328,328,1,0
073,Laptop,S04,S_F_T,330,330,330,330,330,1,0
073,Laptop,S05,S_F_T,330,330,330,330,330,1,0
073,Laptop,S03,S_U_T,326,326,326,326,326,1,0
073,Laptop,S04,S_U_T,326,326,326,326,326,1,0
073,Laptop,S05,S_U_T,326,326,326,326,326,1,0
073,Monitor,S03,A_C_T,300,300,300,300,300,1,1
073,Monitor,S04,A_C_T,300,300,300,300,300,1,1
073,Monitor,S05,A_C_T,300,300,300,300,300,1,1
073,Monitor,S03,A_D_T,300,300,300,300,300,1,1
073,Monitor,S04,A_D_T,300,300,300,300,300,1,1
073,Monitor,S05,A_D_T,300,300,300,300,300,1,1
073,Monitor,S03,A_E_T,300,300,300,300,300,1,1
073,Monitor,S04,A_E_T,300,300,300,300,300,1,1
073,Monitor,S05,A_E_T,300,300,300,300,300,1,1
073,Monitor,S03,A_S_T,300,300,300,300,300,1,1
073,Monitor,S04,A_S_T,300,300,300,300,300,1,1
073,Monitor,S05,A_S_T,300,300,300,300,300,1,1
073,Monitor,S03,A_U_T,300,300,300,300,300,1,1
073,Monitor,S04,A_U_T,300,300,300,300,300,1,1
073,Monitor,S05,A_U_T,300,300,300,300,300,1,1
073,Monitor,S03,D_C_T,300,300,300,300,300,1,1
073,Monitor,S04,D_C_T,300,300,300,300,300,1,1
073,Monitor,S05,D_C_T,300,300,300,300,300,1,1
073,Monitor,S03,D_D_T,300,300,300,300,300,1,1
073,Monitor,S04,D_D_T,300,300,300,300,300,1,1
073,Monitor,S05,D_D_T,300,300,300,300,300,1,1
073,Monitor,S03,D_E_T,300,300,300,300,300,1,1
073,Monitor,S04,D_E_T,300,300,300,300,300,1,1
073,Monitor,S05,D_E_T,300,300,300,300,300,1,1
073,Monitor,S03,D_S_T,300,300,300,300,300,1,1
073,Monitor,S04,D_S_T,300,300,300,300,300,1,1
073,Monitor,S05,D_S_T,300,300,300,300,300,1,1
073,Monitor,S03,D_U_T,300,300,300,300,300,1,1
073,Monitor,S04,D_U_T,300,300,300,300,300,1,1
073,Monitor,S05,D_U_T,300,300,300,300,300,1,1
073,Monitor,S03,F_C_T,300,300,300,300,300,1,1
073,Monitor,S04,F_C_T,300,300,300,300,300,1,1
073,Monitor,S05,F_C_T,300,300,300,300,300,1,1
073,Monitor,S03,F_D_T,300,300,300,300,300,1,1
073,Monitor,S04,F_D_T,300,300,300,300,300,1,1
073,Monitor,S05,F_D_T,300,300,300,300,300,1,1
073,Monitor,S03,F_E_T,300,300,300,300,300,1,1
073,Monitor,S04,F_E_T,300,300,300,300,300,1,1
073,Monitor,S05,F_E_T,300,300,300,300,300,1,1
073,Monitor,S03,F_H_T,300,300,300,300,300,1,1
073,Monitor,S04,F_H_T,300,300,300,300,300,1,1
073,Monitor,S05,F_H_T,300,300,300,300,300,1,1
073,Monitor,S03,F_S_T,300,300,300,300,300,1,1
073,Monitor,S04,F_S_T,300,300,300,300,300,1,1
073,Monitor,S05,F_S_T,300,300,300,300,300,1,1
073,Monitor,S03,F_U_T,300,300,300,300,300,1,1
073,Monitor,S04,F_U_T,300,300,300,300,300,1,1
073,Monitor,S05,F_U_T,300,300,300,300,300,1,1
073,Monitor,S03,N_D_T,300,300,300,300,300,1,1
073,Monitor,S04,N_D_T,300,300,300,300,300,1,1
073,Monitor,S05,N_D_T,300,300,300,300,300,1,1
073,Monitor,S03,N_E_T,300,300,300,300,300,1,1
073,Monitor,S04,N_E_T,300,300,300,300,300,1,1
073,Monitor,S05,N_E_T,300,300,300,300,300,1,1
073,Monitor,S03,N_S_T,300,300,300,300,300,1,1
073,Monitor,S04,N_S_T,300,300,300,300,300,1,1
073,Monitor,S05,N_S_T,300,300,300,300,300,1,1
073,Monitor,S03,N_U_T,300,300,300,300,300,1,1
073,Monitor,S04,N_U_T,300,300,300,300,300,1,1
073,Monitor,S05,N_U_T,300,300,300,300,300,1,1
073,Monitor,S03,S_C_T,300,300,300,300,300,1,1
073,Monitor,S04,S_C_T,300,300,300,300,300,1,1
073,Monitor,S05,S_C_T,300,300,300,300,300,1,1
073,Monitor,S03,S_D_T,300,300,300,300,300,1,1
073,Monitor,S04,S_D_T,300,300,300,300,300,1,1
073,Monitor,S05,S_D_T,300,300,300,300,300,1,1
073,Monitor,S03,S_E_T,300,300,300,300,300,1,1
073,Monitor,S04,S_E_T,300,300,300,300,300,1,1
073,Monitor,S05,S_E_T,300,300,300,300,300,1,1
073,Smartphone,S10,A_C_L,308,308,308,308,308,1,0
073,Smartphone,S10,A_C_R,310,310,310,310,310,1,0
073,Smartphone,S10,A_C_T,306,306,306,306,306,1,0
073,Smartphone,S10,A_D_L,311,311,311,311,311,1,0
073,Smartphone,S10,A_D_R,306,306,306,306,306,1,0
073,Smartphone,S10,A_D_T,306,306,306,306,306,1,0
073,Smartphone,S10,A_E_L,309,309,309,309,309,1,0
073,Smartphone,S10,A_E_R,309,309,309,309,309,1,0
073,Smartphone,S10,A_E_T,311,311,311,311,311,1,0
073,Smartphone,S10,A_F_L,309,309,309,309,309,1,0
073,Smartphone,S10,A_F_R,309,309,309,309,309,1,0
073,Smartphone,S10,A_F_T,307,307,307,307,307,1,0
073,Smartphone,S10,A_L_L,306,306,306,306,306,1,0
073,Smartphone,S10,A_L_R,311,311,311,311,311,1,0
073,Smartphone,S10,A_L_T,306,306,306,306,306,1,0
073,Smartphone,S10,A_P_L,309,309,309,309,309,1,0
073,Smartphone,S10,A_P_R,308,308,308,308,308,1,0
073,Smartphone,S10,A_P_T,308,308,308,308,308,1,0
073,Smartphone,S10,A_S_L,306,306,306,306,306,1,0
073,Smartphone,S10,A_S_R,308,308,308,308,308,1,0
073,Smartphone,S10,A_S_T,307,307,307,307,307,1,0
073,Smartphone,S10,A_T_L,308,308,308,308,308,1,0
073,Smartphone,S10,A_T_R,308,308,308,308,308,1,0
073,Smartphone,S10,A_T_T,311,311,311,311,311,1,0
073,Smartphone,S02,D_C_L,304,304,304,304,304,1,0
073,Smartphone,S02,D_C_R,305,305,305,305,305,1,0
073,Smartphone,S02,D_C_T,305,305,305,305,305,1,0
073,Smartphone,S02,D_D_L,305,305,305,305,305,1,0
073,Smartphone,S02,D_D_R,303,303,303,303,303,1,0
073,Smartphone,S02,D_D_T,307,307,307,307,307,1,0
073,Smartphone,S02,D_E_L,309,309,309,309,309,1,0
073,Smartphone,S02,D_E_R,310,310,310,310,310,1,0
073,Smartphone,S02,D_E_T,309,309,309,309,309,1,0
073,Smartphone,S02,D_F_L,310,310,310,310,310,1,0
073,Smartphone,S02,D_F_R,307,307,307,307,307,1,0
073,Smartphone,S02,D_F_T,311,311,311,311,311,1,0
073,Smartphone,S02,D_L_L,308,308,308,308,308,1,0
073,Smartphone,S02,D_L_R,309,309,309,309,309,1,0
073,Smartphone,S02,D_L_T,305,305,305,305,305,1,0
073,Smartphone,S02,D_P_L,304,304,304,304,304,1,0
073,Smartphone,S02,D_P_R,305,305,305,305,305,1,0
073,Smartphone,S02,D_P_T,305,305,305,305,305,1,0
073,Smartphone,S02,D_S_L,304,304,304,304,304,1,0
073,Smartphone,S02,D_S_R,305,305,305,305,305,1,0
073,Smartphone,S02,D_S_T,305,305,305,305,305,1,0
073,Smartphone,S02,D_T_L,310,310,310,310,310,1,0
073,Smartphone,S02,D_T_R,310,310,310,310,310,1,0
073,Smartphone,S02,D_T_T,309,309,309,309,309,1,0
073,Smartphone,S02,F_C_L,303,303,303,303,303,1,0
073,Smartphone,S02,F_C_R,305,305,305,305,305,1,0
073,Smartphone,S02,F_C_T,305,305,305,305,305,1,0
073,Smartphone,S02,F_D_L,306,306,306,306,306,1,0
073,Smartphone,S02,F_D_R,305,305,305,305,305,1,0
073,Smartphone,S02,F_D_T,306,306,306,306,306,1,0
073,Smartphone,S02,F_E_L,309,309,309,309,309,1,0
073,Smartphone,S02,F_E_R,310,310,310,310,310,1,0
073,Smartphone,S02,F_E_T,311,311,311,311,311,1,0
073,Smartphone,S02,F_F_L,306,306,306,306,306,1,0
073,Smartphone,S02,F_F_R,305,305,305,305,305,1,0
073,Smartphone,S02,F_F_T,307,307,307,307,307,1,0
073,Smartphone,S02,F_H_L,306,306,306,306,306,1,0
073,Smartphone,S02,F_H_R,306,306,306,306,306,1,0
073,Smartphone,S02,F_H_T,305,305,305,305,305,1,0
073,Smartphone,S02,F_L_L,307,307,307,307,307,1,0
073,Smartphone,S02,F_L_R,306,306,306,306,306,1,0
073,Smartphone,S02,F_L_T,310,310,310,310,310,1,0
073,Smartphone,S02,F_P_L,304,304,304,304,304,1,0
073,Smartphone,S02,F_P_R,305,305,305,305,305,1,0
073,Smartphone,S02,F_P_T,304,304,304,304,304,1,0
073,Smartphone,S02,F_S_L,304,304,304,304,304,1,0
073,Smartphone,S02,F_S_R,305,305,305,305,305,1,0
073,Smartphone,S02,F_S_T,304,304,304,304,304,1,0
073,Smartphone,S02,F_T_L,311,311,311,311,311,1,0
073,Smartphone,S02,F_T_R,309,309,309,309,309,1,0
073,Smartphone,S02,F_T_T,311,311,311,311,311,1,0
073,Smartphone,S02,N_D_L,304,304,304,304,304,1,0
073,Smartphone,S02,N_D_R,303,303,303,303,303,1,0
073,Smartphone,S02,N_D_T,306,306,306,306,306,1,0
073,Smartphone,S02,N_E_L,309,309,309,309,309,1,0
073,Smartphone,S02,N_E_R,309,309,309,309,309,1,0
073,Smartphone,S02,N_E_T,310,310,310,310,310,1,0
073,Smartphone,S02,N_F_L,309,309,309,309,309,1,0
073,Smartphone,S02,N_F_R,306,306,306,306,306,1,0
073,Smartphone,S02,N_F_T,305,305,305,305,305,1,0
073,Smartphone,S02,N_L_L,308,308,308,308,308,1,0
073,Smartphone,S02,N_L_R,309,309,309,309,309,1,0
073,Smartphone,S02,N_L_T,305,305,305,305,305,1,0
073,Smartphone,S02,N_P_L,306,306,306,306,306,1,0
073,Smartphone,S02,N_P_R,305,305,305,305,305,1,0
073,Smartphone,S02,N_P_T,305,305,305,305,305,1,0
073,Smartphone,S02,N_S_L,304,304,304,304,304,1,0
073,Smartphone,S02,N_S_R,303,303,303,303,303,1,0
073,Smartphone,S02,N_S_T,303,303,303,303,303,1,0
073,Smartphone,S02,N_T_L,311,311,311,311,311,1,0
073,Smartphone,S02,N_T_R,310,310,310,310,310,1,0
073,Smartphone,S02,N_T_T,310,310,310,310,310,1,0
073,Smartphone,S10,S_C_L,308,308,308,308,308,1,0
073,Smartphone,S10,S_C_R,309,309,309,309,309,1,0
073,Smartphone,S10,S_C_T,307,307,307,307,307,1,0
073,Smartphone,S10,S_D_L,309,309,309,309,309,1,0
073,Smartphone,S10,S_D_R,307,307,307,307,307,1,0
073,Smartphone,S10,S_D_T,305,305,305,305,305,1,0
073,Smartphone,S10,S_E_L,311,311,311,311,311,1,0
073,Smartphone,S10,S_E_R,310,310,310,310,310,1,0
073,Smartphone,S10,S_E_T,311,311,311,311,311,1,0
073,Smartphone,S10,S_F_L,310,310,310,310,310,1,0
073,Smartphone,S10,S_F_R,307,307,307,307,307,1,0
073,Smartphone,S10,S_F_T,307,307,307,307,307,1,0
073,Smartphone,S10,S_L_L,309,309,309,309,309,1,0
073,Smartphone,S10,S_L_R,309,309,309,309,309,1,0
073,Smartphone,S10,S_L_T,307,307,307,307,307,1,0
073,Smartphone,S10,S_P_L,307,307,307,307,307,1,0
073,Smartphone,S10,S_P_R,308,308,308,308,308,1,0
073,Smartphone,S10,S_P_T,305,305,305,305,305,1,0
073,Tablet,S10,A_C_L,309,309,309,309,309,1,0
073,Tablet,S10,A_C_R,307,307,307,307,307,1,0
073,Tablet,S10,A_C_T,309,309,309,309,309,1,0
073,Tablet,S10,A_D_L,306,306,306,306,306,1,0
073,Tablet,S10,A_D_R,305,305,305,305,305,1,0
073,Tablet,S10,A_D_T,306,306,306,306,306,1,0
073,Tablet,S10,A_E_L,301,301,301,301,301,1,0
073,Tablet,S10,A_E_R,309,309,309,309,309,1,0
073,Tablet,S10,A_E_T,309,309,309,309,309,1,0
073,Tablet,S10,A_F_L,309,309,309,309,309,1,0
073,Tablet,S10,A_F_R,304,304,304,304,304,1,0
073,Tablet,S10,A_F_T,305,305,305,305,305,1,0
073,Tablet,S10,A_L_L,304,304,304,304,304,1,0
073,Tablet,S10,A_L_R,303,303,303,303,303,1,0
073,Tablet,S10,A_L_T,308,308,308,308,308,1,0
073,Tablet,S10,A_P_L,306,306,306,306,306,1,0
073,Tablet,S10,A_P_R,305,305,305,305,305,1,0
073,Tablet,S10,A_P_T,307,307,307,307,307,1,0
073,Tablet,S10,A_S_L,302,302,302,302,302,1,0
073,Tablet,S10,A_S_R,303,303,303,303,303,1,0
073,Tablet,S10,A_S_T,303,303,303,303,303,1,0
073,Tablet,S10,A_T_L,303,303,303,303,303,1,0
073,Tablet,S10,A_T_R,303,303,303,303,303,1,0
073,Tablet,S10,A_T_T,303,303,303,303,303,1,0
073,Tablet,S10,A_U_L,306,306,306,306,306,1,0
073,Tablet,S10,A_U_R,304,304,304,304,304,1,0
073,Tablet,S10,A_U_T,302,302,302,302,302,1,0
073,Tablet,S02,D_C_L,309,309,309,309,309,1,0
073,Tablet,S02,D_C_R,305,305,305,305,305,1,0
073,Tablet,S02,D_C_T,306,306,306,306,306,1,0
073,Tablet,S02,D_D_L,301,301,301,301,301,1,0
073,Tablet,S02,D_D_R,305,305,305,305,305,1,0
073,Tablet,S02,D_D_T,302,302,302,302,302,1,0
073,Tablet,S02,D_E_L,302,302,302,302,302,1,0
073,Tablet,S02,D_E_R,312,312,312,312,312,1,0
073,Tablet,S02,D_E_T,311,311,311,311,311,1,0
073,Tablet,S02,D_F_L,307,307,307,307,307,1,0
073,Tablet,S02,D_F_R,303,303,303,303,303,1,0
073,Tablet,S02,D_F_T,311,311,311,311,311,1,0
073,Tablet,S02,D_L_L,302,302,302,302,302,1,0
073,Tablet,S02,D_L_R,303,303,303,303,303,1,0
073,Tablet,S02,D_L_T,309,309,309,309,309,1,0
073,Tablet,S02,D_P_L,302,302,302,302,302,1,0
073,Tablet,S02,D_P_R,308,308,308,308,308,1,0
073,Tablet,S02,D_P_T,304,304,304,304,304,1,0
073,Tablet,S02,D_S_L,303,303,303,303,303,1,0
073,Tablet,S02,D_S_R,303,303,303,303,303,1,0
073,Tablet,S02,D_S_T,302,302,302,302,302,1,0
073,Tablet,S02,D_T_L,303,303,303,303,303,1,0
073,Tablet,S02,D_T_R,303,303,303,303,303,1,0
073,Tablet,S02,D_T_T,304,304,304,304,304,1,0
073,Tablet,S02,D_U_L,303,303,303,303,303,1,0
073,Tablet,S02,D_U_R,304,304,304,304,304,1,0
073,Tablet,S02,D_U_T,304,304,304,304,304,1,0
073,Tablet,S02,F_C_L,305,305,305,305,305,1,0
073,Tablet,S02,F_C_R,305,305,305,305,305,1,0
073,Tablet,S02,F_C_T,306,306,306,306,306,1,0
073,Tablet,S02,F_D_L,302,302,302,302,302,1,0
073,Tablet,S02,F_D_R,302,302,302,302,302,1,0
073,Tablet,S02,F_D_T,303,303,303,303,303,1,0
073,Tablet,S02,F_E_L,304,304,304,304,304,1,0
073,Tablet,S02,F_E_R,309,309,309,309,309,1,0
073,Tablet,S02,F_E_T,309,309,309,309,309,1,0
073,Tablet,S02,F_F_L,305,305,305,305,305,1,0
073,Tablet,S02,F_F_R,303,303,303,303,303,1,0
073,Tablet,S02,F_F_T,309,309,309,309,309,1,0
073,Tablet,S02,F_H_L,308,308,308,308,308,1,0
073,Tablet,S02,F_H_R,309,309,309,309,309,1,0
073,Tablet,S02,F_H_T,308,308,308,308,308,1,0
073,Tablet,S02,F_L_L,301,301,301,301,301,1,0
073,Tablet,S02,F_L_R,308,308,308,308,308,1,0
073,Tablet,S02,F_L_T,306,306,306,306,306,1,0
073,Tablet,S02,F_P_L,302,302,302,302,302,1,0
073,Tablet,S02,F_P_R,310,310,310,310,310,1,0
073,Tablet,S02,F_P_T,304,304,304,304,304,1,0
073,Tablet,S02,F_S_L,302,302,302,302,302,1,0
073,Tablet,S02,F_S_R,303,303,303,303,303,1,0
073,Tablet,S02,F_S_T,302,302,302,302,302,1,0
073,Tablet,S02,F_T_L,303,303,303,303,303,1,0
073,Tablet,S02,F_T_R,303,303,303,303,303,1,0
073,Tablet,S02,F_T_T,304,304,304,304,304,1,0
073,Tablet,S02,F_U_L,304,304,304,304,304,1,0
073,Tablet,S02,F_U_R,303,303,303,303,303,1,0
073,Tablet,S02,F_U_T,305,305,305,305,305,1,0
073,Tablet,S02,N_D_L,302,302,302,302,302,1,0
073,Tablet,S02,N_D_R,305,305,305,305,305,1,0
073,Tablet,S02,N_D_T,304,304,304,304,304,1,0
073,Tablet,S02,N_E_L,303,303,303,303,303,1,0
073,Tablet,S02,N_E_R,311,311,311,311,311,1,0
073,Tablet,S02,N_E_T,312,312,312,312,312,1,0
073,Tablet,S02,N_F_L,308,308,308,308,308,1,0
073,Tablet,S02,N_F_R,306,306,306,306,306,1,0
073,Tablet,S02,N_F_T,309,309,309,309,309,1,0
073,Tablet,S02,N_L_L,308,308,308,308,308,1,0
073,Tablet,S02,N_L_R,306,306,306,306,306,1,0
073,Tablet,S02,N_L_T,312,312,312,312,312,1,0
073,Tablet,S02,N_P_L,302,302,302,302,302,1,0
073,Tablet,S02,N_P_R,304,304,304,304,304,1,0
073,Tablet,S02,N_P_T,306,306,306,306,306,1,0
073,Tablet,S02,N_S_L,302,302,302,302,302,1,0
073,Tablet,S02,N_S_R,302,302,302,302,302,1,0
073,Tablet,S02,N_S_T,301,301,301,301,301,1,0
073,Tablet,S02,N_T_L,301,301,301,301,301,1,0
073,Tablet,S02,N_T_R,302,302,302,302,302,1,0
073,Tablet,S02,N_T_T,302,302,302,302,302,1,0
073,Tablet,S02,N_U_L,305,305,305,305,305,1,0
073,Tablet,S02,N_U_R,303,303,303,303,303,1,0
073,Tablet,S02,N_U_T,303,303,303,303,303,1,0
073,Tablet,S10,S_C_L,311,311,311,311,311,1,0
073,Tablet,S10,S_C_R,306,306,306,306,306,1,0
073,Tablet,S10,S_C_T,306,306,306,306,306,1,0
073,Tablet,S10,S_D_L,305,305,305,305,305,1,0
