id,device,scenario,condition,CamAngle,DistCam2Face,DistDisp2Face,Eye-tracker,FaceAngle,RGB,IR
141,Laptop,S01,A_C_T,326,326,326,326,326,1,0
141,Laptop,S02,A_C_T,327,327,327,327,327,1,0
141,Laptop,S03,A_C_T,327,327,327,327,327,1,0
141,Laptop,S01,A_D_T,326,326,326,326,326,1,0
141,Laptop,S02,A_D_T,327,327,327,327,327,1,0
141,Laptop,S03,A_D_T,327,327,327,327,327,1,0
141,Laptop,S01,A_E_T,326,326,326,326,326,1,0
141,Laptop,S02,A_E_T,327,327,327,327,327,1,0
141,Laptop,S03,A_E_T,327,327,327,327,327,1,0
141,Laptop,S01,A_F_T,331,331,331,331,331,1,0
141,Laptop,S02,A_F_T,332,332,332,332,332,1,0
141,Laptop,S03,A_F_T,331,331,331,331,331,1,0
141,Laptop,S01,A_T_T,326,326,326,326,326,1,0
141,Laptop,S02,A_T_T,326,326,326,326,326,1,0
141,Laptop,S03,A_T_T,325,325,325,325,325,1,0
141,Laptop,S01,A_U_T,327,327,327,327,327,1,0
141,Laptop,S02,A_U_T,326,326,326,326,326,1,0
141,Laptop,S03,A_U_T,327,327,327,327,327,1,0
141,Laptop,S01,D_C_T,326,326,326,326,326,1,0
141,Laptop,S02,D_C_T,327,327,327,327,327,1,0
141,Laptop,S03,D_C_T,327,327,327,327,327,1,0
141,Laptop,S01,D_D_T,326,326,326,326,326,1,0
141,Laptop,S02,D_D_T,326,326,326,326,326,1,0
141,Laptop,S03,D_D_T,313,313,313,313,313,1,0
141,Laptop,S01,D_E_T,326,326,326,326,326,1,0
141,Laptop,S02,D_E_T,326,326,326,326,326,1,0
141,Laptop,S03,D_E_T,327,327,327,327,327,1,0
141,Laptop,S01,D_F_T,332,332,332,332,332,1,0
141,Laptop,S02,D_F_T,329,329,329,329,329,1,0
141,Laptop,S03,D_F_T,330,330,330,330,330,1,0
141,Laptop,S01,D_T_T,326,326,326,326,326,1,0
141,Laptop,S02,D_T_T,327,327,327,327,327,1,0
141,Laptop,S03,D_T_T,327,327,327,327,327,1,0
141,Laptop,S01,D_U_T,327,327,327,327,327,1,0
141,Laptop,S02,D_U_T,326,326,326,326,326,1,0
141,Laptop,S03,D_U_T,326,326,326,326,326,1,0
141,Laptop,S01,F_C_T,325,325,325,325,325,1,0
141,Laptop,S02,F_C_T,326,326,326,326,326,1,0
141,Laptop,S03,F_C_T,327,327,327,327,327,1,0
141,Laptop,S01,F_D_T,325,325,325,325,325,1,0
141,Laptop,S02,F_D_T,325,325,325,325,325,1,0
141,Laptop,S03,F_D_T,327,327,327,327,327,1,0
141,Laptop,S01,F_E_T,327,327,327,327,327,1,0
141,Laptop,S02,F_E_T,327,327,327,327,327,1,0
141,Laptop,S03,F_E_T,327,327,327,327,327,1,0
141,Laptop,S01,F_F_T,324,324,324,324,324,1,0
141,Laptop,S02,F_F_T,329,329,329,329,329,1,0
141,Laptop,S03,F_F_T,330,330,330,330,330,1,0
141,Laptop,S01,F_H_T,320,320,320,320,320,1,0
141,Laptop,S02,F_H_T,326,326,326,326,326,1,0
141,Laptop,S03,F_H_T,326,326,326,326,326,1,0
141,Laptop,S01,F_T_T,326,326,326,326,326,1,0
141,Laptop,S02,F_T_T,326,326,326,326,326,1,0
141,Laptop,S03,F_T_T,327,327,327,327,327,1,0
141,Laptop,S01,F_U_T,327,327,327,327,327,1,0
141,Laptop,S02,F_U_T,327,327,327,327,327,1,0
141,Laptop,S03,F_U_T,326,326,326,326,326,1,0
141,Laptop,S01,N_D_T,326,326,326,326,326,1,0
141,Laptop,S02,N_D_T,327,327,327,327,327,1,0
141,Laptop,S03,N_D_T,326,326,326,326,326,1,0
141,Laptop,S01,N_E_T,327,327,327,327,327,1,0
141,Laptop,S02,N_E_T,327,327,327,327,327,1,0
141,Laptop,S03,N_E_T,326,326,326,326,326,1,0
141,Laptop,S01,N_F_T,317,317,317,317,317,1,0
141,Laptop,S02,N_F_T,319,319,319,319,319,1,0
141,Laptop,S03,N_F_T,330,330,330,330,330,1,0
141,Laptop,S01,N_T_T,326,326,326,326,326,1,0
141,Laptop,S02,N_T_T,327,327,327,327,327,1,0
141,Laptop,S03,N_T_T,327,327,327,327,327,1,0
141,Laptop,S01,N_U_T,327,327,327,327,327,1,0
141,Laptop,S02,N_U_T,326,326,326,326,326,1,0
141,Laptop,S03,N_U_T,327,327,327,327,327,1,0
141,Laptop,S01,S_C_T,326,326,326,326,326,1,0
141,Laptop,S02,S_C_T,327,327,327,327,327,1,0
141,Laptop,S03,S_C_T,327,327,327,327,327,1,0
141,Laptop,S01,S_D_T,326,326,326,326,326,1,0
141,Laptop,S02,S_D_T,326,326,326,326,326,1,0
141,Laptop,S03,S_D_T,326,326,326,326,326,1,0
141,Laptop,S01,S_E_T,327,327,327,327,327,1,0
