id,device,scenario,condition,CamAngle,DistCam2Face,DistDisp2Face,Eye-tracker,FaceAngle,RGB,IR
134,Laptop,S04,A_C_T,327,327,327,327,327,1,0
134,Laptop,S05,A_C_T,327,327,327,327,327,1,0
134,Laptop,S06,A_C_T,326,326,326,326,326,1,0
134,Laptop,S04,A_D_T,327,327,327,327,327,1,0
134,Laptop,S05,A_D_T,327,327,327,327,327,1,0
134,Laptop,S06,A_D_T,326,326,326,326,326,1,0
134,Laptop,S04,A_E_T,326,326,326,326,326,1,0
134,Laptop,S05,A_E_T,326,326,326,326,326,1,0
134,Laptop,S06,A_E_T,326,326,326,326,326,1,0
134,Laptop,S04,A_F_T,329,329,329,329,329,1,0
134,Laptop,S05,A_F_T,329,329,329,329,329,1,0
134,Laptop,S06,A_F_T,329,329,329,329,329,1,0
134,Laptop,S04,A_T_T,326,326,326,326,326,1,0
134,Laptop,S05,A_T_T,326,326,326,326,326,1,0
134,Laptop,S06,A_T_T,327,327,327,327,327,1,0
134,Laptop,S04,A_U_T,327,327,327,327,327,1,0
134,Laptop,S05,A_U_T,327,327,327,327,327,1,0
134,Laptop,S06,A_U_T,326,326,326,326,326,1,0
134,Laptop,S04,D_C_T,326,326,326,326,326,1,0
134,Laptop,S05,D_C_T,326,326,326,326,326,1,0
134,Laptop,S06,D_C_T,326,326,326,326,326,1,0
134,Laptop,S04,D_D_T,327,327,327,327,327,1,0
134,Laptop,S05,D_D_T,326,326,326,326,326,1,0
134,Laptop,S06,D_D_T,326,326,326,326,326,1,0
134,Laptop,S04,D_E_T,326,326,326,326,326,1,0
134,Laptop,S05,D_E_T,327,327,327,327,327,1,0
134,Laptop,S06,D_E_T,327,327,327,327,327,1,0
134,Laptop,S04,D_F_T,318,318,318,318,318,1,0
134,Laptop,S05,D_F_T,332,332,332,332,332,1,0
134,Laptop,S06,D_F_T,331,331,331,331,331,1,0
134,Laptop,S04,D_T_T,327,327,327,327,327,1,0
134,Laptop,S05,D_T_T,326,326,326,326,326,1,0
134,Laptop,S06,D_T_T,328,328,328,328,328,1,0
134,Laptop,S04,D_U_T,326,326,326,326,326,1,0
134,Laptop,S05,D_U_T,327,327,327,327,327,1,0
134,Laptop,S06,D_U_T,326,326,326,326,326,1,0
134,Laptop,S04,F_C_T,327,327,327,327,327,1,0
134,Laptop,S05,F_C_T,327,327,327,327,327,1,0
134,Laptop,S06,F_C_T,325,325,325,325,325,1,0
134,Laptop,S04,F_D_T,326,326,326,326,326,1,0
134,Laptop,S05,F_D_T,325,325,325,325,325,1,0
134,Laptop,S06,F_D_T,326,326,326,326,326,1,0
134,Laptop,S04,F_E_T,327,327,327,327,327,1,0
134,Laptop,S05,F_E_T,326,326,326,326,326,1,0
134,Laptop,S06,F_E_T,326,326,326,326,326,1,0
134,Laptop,S04,F_F_T,324,324,324,324,324,1,0
134,Laptop,S05,F_F_T,316,316,316,316,316,1,0
134,Laptop,S06,F_F_T,331,331,331,331,331,1,0
134,Laptop,S04,F_H_T,326,326,326,326,326,1,0
134,Laptop,S05,F_H_T,327,327,327,327,327,1,0
134,Laptop,S06,F_H_T,327,327,327,327,327,1,0
134,Laptop,S04,F_T_T,327,327,327,327,327,1,0
134,Laptop,S05,F_T_T,326,326,326,326,326,1,0
134,Laptop,S06,F_T_T,326,326,326,326,326,1,0
134,Laptop,S04,F_U_T,326,326,326,326,326,1,0
134,Laptop,S05,F_U_T,326,326,326,326,326,1,0
134,Laptop,S06,F_U_T,327,327,327,327,327,1,0
134,Laptop,S04,N_D_T,326,326,326,326,326,1,0
134,Laptop,S05,N_D_T,327,327,327,327,327,1,0
134,Laptop,S06,N_D_T,328,328,328,328,328,1,0
134,Laptop,S04,N_E_T,326,326,326,326,326,1,0
134,Laptop,S05,N_E_T,322,322,322,322,322,1,0
134,Laptop,S06,N_E_T,327,327,327,327,327,1,0
134,Laptop,S04,N_F_T,316,316,316,316,316,1,0
134,Laptop,S05,N_F_T,320,320,320,320,320,1,0
134,Laptop,S06,N_F_T,314,314,314,314,314,1,0
134,Laptop,S04,N_T_T,326,326,326,326,326,1,0
134,Laptop,S05,N_T_T,326,326,326,326,326,1,0
134,Laptop,S06,N_T_T,327,327,327,327,327,1,0
134,Laptop,S04,N_U_T,328,328,328,328,328,1,0
134,Laptop,S05,N_U_T,327,327,327,327,327,1,0
134,Laptop,S06,N_U_T,326,326,326,326,326,1,0
134,Laptop,S04,S_C_T,327,327,327,327,327,1,0
134,Laptop,S05,S_C_T,326,326,326,326,326,1,0
134,Laptop,S06,S_C_T,326,326,326,326,326,1,0
134,Laptop,S04,S_D_T,327,327,327,327,327,1,0
134,Laptop,S05,S_D_T,326,326,326,326,326,1,0
